"","ID","Name","CountryCode","District","Population","lon","lat"
"633",897,"Santa Cruz","PHL","Southern Tagalog",92694,-122.0307963,36.9741171
"634",898,"Sorsogon","PHL","Bicol",92512,123.9303991,12.7599859
"635",899,"Candelaria","PHL","Southern Tagalog",92429,-16.3817021,28.3789692
"636",900,"Ligao","PHL","Bicol",90603,123.4943968,13.1724166
"637",902,"Libreville","GAB","Estuaire",419000,9.4672676,0.4161976
"638",903,"Serekunda","GMB","Kombo St Mary",102600,-16.6880841,13.4502991
"639",904,"Banjul","GMB","Banjul",42326,-16.5790323,13.4548761
"640",905,"Tbilisi","GEO","Tbilisi",1235200,44.827096,41.7151377
"641",906,"Kutaisi","GEO","Imereti",240900,42.7180019,42.2662428
"642",907,"Rustavi","GEO","Kvemo Kartli",155400,45.0430369,41.5225612
"644",910,"Accra","GHA","Greater Accra",1070000,-0.1869644,5.6037168
"645",911,"Kumasi","GHA","Ashanti",385192,-1.6162709,6.6666004
"646",912,"Tamale","GHA","Northern",151069,-95.8159448,36.0471002
"647",913,"Tema","GHA","Greater Accra",109975,0.0302354,5.7348119
"648",914,"Sekondi-Takoradi","GHA","Western",103653,-1.7830973,4.9015794
"650",918,"Les Abymes","GLP","Grande-Terre",62947,-61.5252827,16.2710933
"651",919,"Basse-Terre","GLP","Basse-Terre",12433,-61.6947193,16.0341215
"652",922,"Ciudad de Guatemala","GTM","Guatemala",823301,-90.5068824,14.6349149
"656",926,"Conakry","GIN","Conakry",1090610,-13.5784012,9.6411855
"657",927,"Bissau","GNB","Bissau",241000,-15.6177942,11.8816553
"659",929,"Port-au-Prince","HTI","Ouest",884472,-72.3074326,18.594395
"660",930,"Carrefour","HTI","Ouest",290204,-95.8568336,36.0991053
"661",931,"Delmas","HTI","Ouest",240429,28.6786903,-26.1403469
